Neighbourhood,From_Date,To_Date,Crime_Code,Crime_Type,Ward,City,FID
Prospect,2017-07-18T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1226
Prospect,2017-08-04T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1227
Prospect,2017-08-05T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1228
Prospect,2017-08-08T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1229
Prospect,2017-08-14T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1230
Prospect,2017-08-16T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1231
Prospect,2017-08-26T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1232
Prospect,2017-08-27T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1233
Prospect,2017-09-08T00:00:00.000Z,,2140,THEFT OTH <$5000,11,Fredericton,1234
Prospect,2017-09-18T00:00:00.000Z,2017-09-19T00:00:00.000Z,2140,THEFT OTH <$5000,9,Fredericton,1235
Prospect,2017-09-27T00:00:00.000Z,,2140,THEFT OTH <$5000,9,Fredericton,1236
Prospect,2017-10-04T00:00:00.000Z,,2140,THEFT OTH <$5000,11,Fredericton,1237
Prospect,2017-10-19T00:00:00.000Z,,2140,THEFT OTH <$5000,10,Fredericton,1238
Prospect,2017-10-26T00:00:00.000Z,,2130,"THEFT,BIKE>$5000",10,Fredericton,1239
Lian / Valcore,2017-10-02T00:00:00.000Z,,2170,MISCHIEF-DATA,12,Fredericton,1240
Lian / Valcore,2017-06-26T00:00:00.000Z,2017-06-26T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1241
Lian / Valcore,2017-01-09T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1242
Lian / Valcore,2017-04-05T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1243
Lian / Valcore,2017-05-04T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1244
Lian / Valcore,2017-06-03T00:00:00.000Z,,2140,THEFT OTH <$5000,12,Fredericton,1245
Lian / Valcore,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,2140,THEFT OTH <$5000,12,Fredericton,1246
North Devon,2017-08-15T00:00:00.000Z,2017-08-16T00:00:00.000Z,2120,B&E OTHER,4,Fredericton,1247
North Devon,2017-08-15T00:00:00.000Z,2017-08-16T00:00:00.000Z,2120,B&E OTHER,4,Fredericton,1248
North Devon,2017-03-10T00:00:00.000Z,2017-03-11T00:00:00.000Z,2120,B&E RESIDENCE,4,Fredericton,1249
North Devon,2017-04-30T00:00:00.000Z,,2120,B&E RESIDENCE,4,Fredericton,1250
North Devon,2017-06-30T00:00:00.000Z,,2120,B&E RESIDENCE,4,Fredericton,1251
North Devon,2017-07-16T00:00:00.000Z,,2120,B&E RESIDENCE,4,Fredericton,1252
Rail Side,2017-08-12T00:00:00.000Z,2017-08-12T00:00:00.000Z,2135,MOTOR VEH THEFT,12,Fredericton,1253
North Devon,2017-09-12T00:00:00.000Z,2017-09-13T00:00:00.000Z,2120,B&E RESIDENCE,3,Fredericton,1254
North Devon,2017-08-17T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1255
North Devon,2017-07-27T00:00:00.000Z,2017-07-27T00:00:00.000Z,2120,B&E RESIDENCE,4,Fredericton,1256
North Devon,2017-01-01T00:00:00.000Z,2017-01-02T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1257
North Devon,2017-01-10T00:00:00.000Z,2017-01-11T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1258
North Devon,2017-01-28T00:00:00.000Z,,2170,MISCHIEF TO PROP,4,Fredericton,1259
North Devon,2017-03-19T00:00:00.000Z,2017-03-20T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1260
North Devon,2017-05-06T00:00:00.000Z,2017-05-06T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1261
North Devon,2017-05-09T00:00:00.000Z,,2170,MISCHIEF TO PROP,4,Fredericton,1262
North Devon,2017-05-15T00:00:00.000Z,2017-05-15T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1263
North Devon,2017-05-22T00:00:00.000Z,,2170,MISCHIEF TO PROP,4,Fredericton,1264
North Devon,2017-06-20T00:00:00.000Z,,2170,MISCHIEF TO PROP,4,Fredericton,1265
North Devon,2017-06-26T00:00:00.000Z,,2170,MISCHIEF TO PROP,4,Fredericton,1266
North Devon,2017-06-27T00:00:00.000Z,2017-06-28T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1267
North Devon,2017-06-27T00:00:00.000Z,2017-06-28T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1268
North Devon,2017-07-05T00:00:00.000Z,2017-07-06T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1269
North Devon,2017-07-08T00:00:00.000Z,2017-07-08T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1270
North Devon,2017-07-24T00:00:00.000Z,2017-07-25T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1271
North Devon,2017-07-20T00:00:00.000Z,,2170,MISCHIEF TO PROP,4,Fredericton,1272
North Devon,2017-07-28T00:00:00.000Z,2017-07-28T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1273
North Devon,2017-08-17T00:00:00.000Z,,2170,MISCHIEF TO PROP,4,Fredericton,1274
North Devon,2017-08-21T00:00:00.000Z,2017-08-22T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1275
North Devon,2017-07-14T00:00:00.000Z,2017-07-16T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1276
North Devon,2017-09-03T00:00:00.000Z,2017-09-05T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1277
North Devon,2017-09-11T00:00:00.000Z,,2170,MISCHIEF TO PROP,4,Fredericton,1278
North Devon,2017-09-21T00:00:00.000Z,2017-09-21T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1279
North Devon,2017-09-26T00:00:00.000Z,2017-09-26T00:00:00.000Z,2170,MISCHIEF TO PROP,4,Fredericton,1280
North Devon,2017-06-30T00:00:00.000Z,2017-07-01T00:00:00.000Z,2140,THEFT BIKE<$5000,4,Fredericton,1281
North Devon,2017-07-12T00:00:00.000Z,,2140,THEFT BIKE<$5000,4,Fredericton,1282
North Devon,2017-09-11T00:00:00.000Z,2017-09-12T00:00:00.000Z,2140,THEFT BIKE<$5000,4,Fredericton,1283
North Devon,2017-09-11T00:00:00.000Z,2017-09-12T00:00:00.000Z,2140,THEFT BIKE<$5000,4,Fredericton,1284
North Devon,2017-03-08T00:00:00.000Z,2017-03-08T00:00:00.000Z,2142,THEFT FROM MV < $5000,4,Fredericton,1285
North Devon,2017-04-04T00:00:00.000Z,,2142,THEFT FROM MV < $5000,4,Fredericton,1286
